City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,okulovka,58.4008,33.2908,-2.07,96,100,4.02,RU,1734203961
329,portland,45.5234,-122.6762,10.35,88,100,4.92,US,1734203746
330,tondano,1.3038,124.9112,20.05,98,100,1.36,ID,1734203905
331,bera,24.0833,89.6167,16.97,50,69,4.08,BD,1734203964
332,fortuna,40.5982,-124.1573,9.96,99,75,2.57,US,1734203965
333,new ulm,44.3125,-94.4605,-0.87,93,0,3.09,US,1734203966
334,greenville,35.6127,-77.3663,13.01,66,100,5.14,US,1734203874
335,minab,27.1467,57.0801,21.85,60,92,4.35,IR,1734203968
336,metlili chaamba,32.2667,3.6333,13.52,28,0,0.0,DZ,1734203969
337,moriki,12.8741,6.4875,23.55,10,100,4.13,NG,1734203970
338,daru,-9.0763,143.2092,25.34,92,100,4.56,PG,1734203971
339,sao joao da barra,-21.6403,-41.0511,28.05,88,100,6.43,BR,1734203972
340,val-d'or,48.1002,-77.7828,-10.95,79,40,2.57,CA,1734203960
341,tarakan,3.3,117.6333,24.95,89,25,3.03,ID,1734203975
342,tayu,-6.5397,111.0518,24.15,95,100,0.96,ID,1734203977
343,tambura,5.6,27.4667,31.57,24,100,3.62,SS,1734203978
344,sassandra,4.95,-6.0833,26.41,84,98,2.99,CI,1734203979
345,qarqaraly,49.4058,75.4742,-7.71,68,100,3.91,KZ,1734203980
346,inhambane,-23.865,35.3833,25.48,85,79,7.53,MZ,1734203981
347,benedita,39.4247,-8.97,10.72,86,100,1.07,PT,1734203982
348,kapiri mposhi,-13.9652,28.6809,22.27,54,84,2.52,ZM,1734203983
349,whangarei,-35.7317,174.3239,17.59,80,100,0.5,NZ,1734203984
350,selfoss,63.9331,-20.9971,3.36,77,100,11.83,IS,1734203985
351,hami,42.8,93.45,-8.56,54,0,1.11,CN,1734203764
352,kakonko,-3.2828,30.9642,19.05,89,92,0.97,TZ,1734203987
353,bamboo flat,11.7,92.7167,25.05,94,75,2.06,IN,1734203988
354,taroa,8.7058,171.2275,27.75,77,100,8.53,MH,1734203989
355,egilsstadir,65.2653,-14.3948,1.95,75,75,0.51,IS,1734203990
356,vernon,50.2581,-119.2691,3.75,89,100,1.03,CA,1734203786
357,bandon,51.7469,-8.7425,8.77,88,100,4.04,IE,1734203992
358,manokwari,-0.8667,134.0833,26.3,82,100,0.64,ID,1734203993
359,remire-montjoly,4.9167,-52.2667,30.02,70,40,5.66,GF,1734203994
360,san patricio,28.017,-97.5169,25.97,74,100,5.7,US,1734203995
361,machali,-34.1833,-70.6667,30.6,25,0,4.63,CL,1734203833
362,bu'aale,1.0833,42.5833,24.78,80,79,4.55,SO,1734203999
